ins_code,isin,cisin,l18,l30
47057041229157097,IRT3PC060001,IRT3PC060002,راهکار,ص.خصوصی راهکار توسعه 35%تادیه
26958787408104156,IRO7RYAZ0001,IRO7RYAZ0004,رایا,بیمه اتکایی رایا 50%تادیه
66105959479616770,IRT1RYKA0001,IRT1RYKA0006,رایکا,صندوق س نوع دوم رایکا- ثابت	
41048299027409941,IRO1EPRS0001,IRO1EPRS0006,رتاپ,تجارت الکترونیک  پارسیان
49613772749166261,IRR1EPRS0101,IRR1EPRS0108,رتاپح,ح.تجارت الکترونیک پارسیان
49854144784855542,IRO7TKIN0001,IRO7TKIN0004,رتکو,کنترل ‌خوردگی ‌تکین ‌کوی
63886404454477678,IRT3RKSF0001,IRT3RKSF0007,رخش,صندوق س.سهامی ثروت البرز-س
8961366473557410,IRT3GSFF0001,IRT3GSFF0007,رسانا,صندوق س.بخشی گستره فیروزه1-ب
48287767791629523,IRT3RSHF0001,IRT3RSHF0002,رشد,صندوق س.رشد پایدار آبان-د
4170494561477386,IRT1ROSH0001,IRT1ROSH0003,رشدی کیان,صندوق س آوای سهام کیان-سهام
33410001534682920,IRO7REFP0001,IRO7REFP0005,رفاه,فروشگاه های زنجیره ای رفاه
22002589755112021,IRT3IBEF0001,IRT3IBEF0005,رماس,صندوق س.راهبرد ممتازابن سینا-س
67126881188552864,IRO1MAPN0001,IRO1MAPN0000,رمپنا,گروه مپنا (سهامی عام)
33854964748757477,IRO3GEMZ0001,IRO3GEMZ0001,رنیک,جنرال مکانیک
24744049494761785,IRT1RNGH0001,IRT1RNGH0008,رونق,صندوق س.رونق کسرا-سهام
15124889255100138,IRT3VC010001,IRT3VC010009,رویش,ص.س.جسورانه رویش لوتوس
53059909885484371,IRT3RUNF0001,IRT3RUNF0000,رویین,صندوق س.بخشی صنایع سورنا1-ب
27952969918967492,IRO1RKSH0001,IRO1RKSH0008,رکیش,کارت اعتباری ایران کیش
21500060221654011,IRR1RKSH0101,IRR1RKSH0100,رکیشح,ح. کارت اعتباری ایران کیش
6478064539164167,IRO3RPEZ0001,IRO3RPEZ0005,ریشمک,تولید و صادرات ریشمک
13235547361447092,IRO3PZGZ0001,IRO3PZGZ0003,زاگرس,پتروشیمی زاگرس
54482686501491508,IRO3BAHZ0001,IRO3BAHZ0007,زبینا,کشاورزی و دامپروری بینالود
25180702353416009,IRO3DKHZ0001,IRO3DKHZ0003,زدشت,کشت و صنعت دشت خرم دره
33254899395816171,IRTKZARF0001,IRTKZARF0001,زر,صندوق س.پشتوانه طلای زرافشان
33144542989832366,IRTKZFAM0001,IRTKZFAM0006,زرفام,صندوق س.پشتوانه طلا زرفام آشنا
28255729477187163,IRTKZARV0001,IRTKZARV0001,زروان,صندوق س.پشتوانه طلازروان ویستا
50139638026536387,IRT3ZAKF0001,IRT3ZAKF0007,زرین,صندوق س. سهام زرین کوروش-س
26547785441834730,IRO3SAAZ0001,IRO3SAAZ0005,زشریف,کشت وصنعت شریف آباد
26259366519412975,IRO3ZMMZ0001,IRO3ZMMZ0008,زشگزا,شیر و گوشت زاگرس شهرکرد
36844527173896115,IRO3FAHZ0001,IRO3FAHZ0003,زفجر,کشاورزی و دامپروری فجر اصفهان
5427792638736934,IRO3FAAZ0001,IRO3FAAZ0000,زفکا,کشت و دامداری فکا
